# Simulation 1 (Up to date),
# 2735 data points written for 2 variables.,
# Simulation warnings:,
#   No recovery device defined in the simulation.,
#,
# Drag coefficient (​),Mach number (​)
# Event SIM_WARN occurred at t=0 seconds: No recovery device defined in the simulation.,
# Event IGNITION occurred at t=0 seconds,
# Event LAUNCH occurred at t=0 seconds,
1.419,0
1.419,4.19E-06
1.419,9.06E-05
0.958,5.13E-04
0.779,0.001
0.726,0.002
0.683,0.002
0.652,0.003
0.628,0.004
0.608,0.004
# Event LIFTOFF occurred at t=0.032 seconds,
0.575,0.006
0.546,0.008
0.531,0.01
0.52,0.011
0.51,0.012
0.506,0.013
0.499,0.014
0.49,0.016
0.483,0.018
0.478,0.019
0.471,0.021
0.466,0.023
0.464,0.024
0.462,0.024
0.459,0.025
0.456,0.027
0.452,0.029
0.447,0.031
0.443,0.033
0.438,0.036
0.438,0.038
0.438,0.04
0.438,0.042
0.438,0.044
0.438,0.045
0.438,0.046
0.438,0.048
0.438,0.051
0.438,0.054
0.438,0.054
0.438,0.055
0.438,0.057
0.438,0.06
0.438,0.062
0.438,0.065
0.438,0.068
0.438,0.071
0.438,0.073
0.438,0.076
0.438,0.077
0.438,0.078
0.438,0.08
0.438,0.083
0.439,0.086
0.439,0.089
# Event LAUNCHROD occurred at t=0.346 seconds,
0.439,0.09
0.439,0.093
0.439,0.097
0.439,0.101
0.439,0.106
0.439,0.109
0.439,0.112
0.439,0.113
0.439,0.114
0.439,0.116
0.439,0.116
0.439,0.117
0.439,0.118
0.44,0.119
0.44,0.121
0.44,0.122
0.44,0.124
0.44,0.125
0.44,0.126
0.44,0.128
0.44,0.13
0.44,0.131
0.44,0.133
0.44,0.134
0.44,0.136
0.44,0.137
0.44,0.138
0.44,0.141
0.44,0.144
0.441,0.148
0.441,0.153
0.441,0.159
0.441,0.163
0.442,0.167
0.442,0.17
0.442,0.175
0.442,0.176
0.442,0.179
0.442,0.183
0.443,0.188
0.443,0.19
0.443,0.193
0.443,0.198
0.444,0.205
0.444,0.214
0.445,0.225
0.446,0.238
0.447,0.25
0.448,0.262
0.449,0.278
0.45,0.291
0.451,0.301
0.452,0.312
0.453,0.326
0.454,0.335
0.456,0.348
0.457,0.359
0.458,0.37
0.459,0.38
0.46,0.391
0.462,0.403
0.463,0.413
0.464,0.42
0.465,0.424
0.465,0.429
0.466,0.431
0.466,0.434
0.467,0.438
0.467,0.44
0.467,0.443
0.468,0.447
0.468,0.449
0.469,0.453
0.47,0.458
0.47,0.461
0.471,0.467
0.472,0.475
0.472,0.476
0.473,0.479
0.473,0.482
0.474,0.488
0.475,0.491
0.475,0.495
0.477,0.503
0.477,0.504
0.477,0.507
0.478,0.511
0.479,0.517
0.479,0.518
0.48,0.521
0.48,0.524
0.481,0.529
0.482,0.531
0.482,0.535
0.483,0.541
0.485,0.547
0.486,0.556
0.488,0.564
0.49,0.575
0.49,0.576
0.491,0.577
0.491,0.58
0.492,0.583
0.493,0.587
0.494,0.594
0.495,0.598
0.497,0.604
0.498,0.609
0.499,0.615
0.5,0.621
0.502,0.627
0.504,0.635
0.506,0.644
0.509,0.656
0.512,0.668
0.515,0.677
0.517,0.684
0.517,0.686
0.518,0.686
0.518,0.687
0.518,0.689
0.519,0.69
0.519,0.692
0.52,0.693
0.52,0.695
0.521,0.697
0.521,0.697
0.521,0.698
0.521,0.699
0.522,0.7
0.522,0.7
0.522,0.701
0.522,0.701
0.522,0.702
0.522,0.703
0.523,0.703
0.523,0.704
0.523,0.705
0.523,0.705
0.524,0.706
0.524,0.707
0.524,0.708
0.524,0.708
0.524,0.709
0.525,0.709
0.525,0.71
0.525,0.71
0.525,0.711
0.525,0.711
0.525,0.711
0.525,0.712
0.526,0.713
0.526,0.714
0.526,0.714
0.526,0.715
0.526,0.715
0.527,0.716
0.527,0.717
0.527,0.717
0.527,0.718
0.528,0.719
0.528,0.72
0.528,0.72
0.528,0.72
0.528,0.721
0.529,0.722
0.529,0.723
0.529,0.723
0.53,0.725
0.53,0.726
0.531,0.728
0.531,0.73
0.532,0.732
0.533,0.733
0.533,0.736
0.534,0.738
0.535,0.74
0.535,0.741
0.536,0.743
0.536,0.744
0.537,0.745
0.537,0.746
0.537,0.747
0.538,0.748
0.538,0.749
0.539,0.751
0.539,0.751
0.539,0.752
0.54,0.753
0.54,0.754
0.54,0.755
0.54,0.755
0.541,0.755
0.541,0.756
0.541,0.756
0.541,0.757
0.541,0.757
0.541,0.757
0.541,0.758
0.542,0.758
0.542,0.759
0.542,0.76
0.543,0.762
0.544,0.765
0.545,0.767
0.546,0.77
0.547,0.773
0.548,0.775
0.549,0.777
0.55,0.779
